"host_id","host_is_superhost","host_identity_verified","host_has_profile_pic","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_listings_count","review_scores_communication","price"
438952657,"f","t","t","2022-01-04","within a few hours","94%","100%",37,4.71,NA
237598325,"t","t","f","2019-01-19","N/A","N/A","100%",2,4.97,NA
452323240,"f","t","t","2022-04-01","within a day","60%","0%",2,5,NA
128899955,"f","t","t","2017-05-04","within a few hours","80%","44%",3,NA,NA
17726658,"t","t","t","2014-07-06","N/A","N/A","N/A",1,5,NA
375213763,"f","t","t","2020-11-10","within an hour","100%","100%",2,NA,1299
225647706,"","t","t","2018-11-13","N/A","N/A","N/A",2,NA,NA
204704622,"f","t","t","2018-07-24","within a few hours","95%","69%",259,4,NA
12711131,"t","t","t","2014-03-02","within a few hours","100%","100%",2,5,NA
533292672,"f","t","t","2023-08-22","within an hour","100%","64%",20,NA,NA
3831783,"f","t","t","2012-10-10","N/A","N/A","N/A",1,4.95,NA
555538068,"f","t","t","2024-01-09","within an hour","100%","94%",8,NA,NA
434473,"f","t","t","2011-03-10","N/A","N/A","N/A",1,4.94,NA
326084746,"f","t","t","2020-01-10","within an hour","100%","85%",1499,NA,NA
19303369,"f","t","t","2014-08-01","within an hour","99%","88%",298,NA,NA
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,NA
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,NA
39648442,"f","t","t","2015-07-26","within an hour","100%","100%",3,NA,NA
142447586,"f","t","t","2017-07-25","N/A","N/A","N/A",4,5,NA
4152479,"f","t","t","2012-11-14","N/A","N/A","N/A",1,NA,NA
496932087,"f","f","t","2023-01-19","within an hour","94%","96%",114,5,134
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,41
224340103,"t","t","t","2018-11-05","within an hour","100%","100%",3,5,NA
326084746,"f","t","t","2020-01-10","within an hour","100%","85%",1499,NA,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,5,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,NA,NA
1372786,"f","t","t","2011-11-05","N/A","N/A","N/A",1,4.68,NA
19303369,"f","t","t","2014-08-01","within an hour","99%","88%",298,5,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
320761,"f","t","t","2010-12-16","N/A","N/A","N/A",1,4.96,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
429095657,"f","t","t","2021-10-26","N/A","N/A","N/A",6,NA,NA
107434423,"f","t","t","2016-12-16","within an hour","100%","96%",4494,NA,485
287959794,"f","t","f","2019-08-21","N/A","N/A","N/A",1,NA,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
276878527,"f","t","t","2019-07-17","a few days or more","14%","30%",52,4.67,418
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
494585533,"t","f","t","2023-01-06","within an hour","100%","65%",9,5,90
1182294,"f","t","t","2011-09-19","N/A","N/A","N/A",1,4.75,NA
429095657,"f","t","t","2021-10-26","N/A","N/A","N/A",6,4.75,NA
343784251,"f","t","t","2020-04-13","N/A","N/A","N/A",1,4.72,160
4280869,"f","t","t","2012-11-29","within a day","100%","100%",3,5,NA
997892,"f","t","t","2011-08-20","N/A","N/A","N/A",1,NA,250
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
9053876,"f","t","t","2013-09-25","within a day","50%","0%",1,4.83,250
488786670,"f","t","t","2022-11-22","N/A","N/A","100%",2,4.65,178
1380703,"f","f","t","2011-11-07","N/A","N/A","N/A",1,5,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
326084746,"f","t","t","2020-01-10","within an hour","100%","85%",1499,NA,277
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
23971401,"t","t","t","2014-11-20","within an hour","100%","99%",3,NA,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
138994120,"f","t","t","2017-07-06","a few days or more","0%","N/A",3,4.2,NA
570439129,"f","t","t","2024-04-03","within an hour","100%","91%",1,3.8,421
247797730,"f","f","t","2019-03-09","N/A","N/A","N/A",1,NA,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,5,156
521073358,"f","t","t","2023-06-20","N/A","N/A","N/A",3,NA,NA
384532776,"t","t","t","2021-01-14","within a few hours","95%","42%",45,5,144
76667010,"t","t","t","2016-06-09","within an hour","100%","95%",2,4.88,119
727084,"f","t","t","2011-06-21","N/A","N/A","N/A",1,4.84,NA
208667188,"f","t","t","2018-08-10","within a few hours","90%","56%",9,NA,216
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,NA,NA
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,NA,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,NA,NA
44278310,"f","t","t","2015-09-15","N/A","N/A","N/A",1,NA,NA
16540215,"f","t","t","2014-06-08","within an hour","100%","75%",1,NA,NA
543460585,"f","t","t","2023-10-25","N/A","N/A","71%",6,NA,705
602231,"f","t","t","2011-05-19","a few days or more","27%","47%",3,5,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
1093220,"f","t","t","2011-08-31","N/A","N/A","100%",2,4.87,NA
64660747,"t","t","t","2016-03-27","N/A","N/A","100%",3,5,276
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
455217956,"t","t","t","2022-04-20","within an hour","100%","100%",1,4.9,250
912541,"f","t","t","2011-08-02","N/A","N/A","N/A",1,5,NA
918087,"f","t","t","2011-08-03","N/A","N/A","N/A",3,4.83,NA
184418208,"f","t","t","2018-04-15","within a few hours","100%","100%",1,5,NA
1096084,"f","t","t","2011-09-01","N/A","N/A","N/A",1,5,NA
29441171,"f","t","t","2015-03-16","N/A","N/A","N/A",1,4,NA
40605363,"t","t","t","2015-08-05","within an hour","100%","65%",1,5,NA
261560877,"t","t","t","2019-05-13","within an hour","100%","89%",1,5,220
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,4,43
533234561,"f","t","t","2023-08-22","within a few hours","82%","79%",85,4,175
22350690,"f","t","t","2014-10-10","N/A","N/A","N/A",1,NA,NA
3880974,"f","f","t","2012-10-15","N/A","N/A","N/A",1,4.91,NA
1728785,"f","t","t","2012-02-09","within an hour","100%","N/A",1,5,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,NA,NA
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,NA
546883301,"t","t","t","2023-11-17","within an hour","100%","100%",3,NA,NA
492711196,"t","t","t","2022-12-25","within a few hours","100%","62%",10,NA,200
436098811,"f","t","t","2021-12-15","a few days or more","0%","N/A",1,4.92,107
6893861,"f","t","t","2013-06-13","within a day","70%","66%",1,5,NA
64150162,"f","t","t","2016-03-23","N/A","N/A","N/A",1,NA,NA
128920,"f","t","t","2010-05-20","N/A","N/A","N/A",1,5,NA
542325136,"f","t","t","2023-10-17","within an hour","100%","82%",8,5,394
378112960,"","t","t","2020-12-03","within an hour","99%","100%",23,4.82,257
487042524,"t","t","t","2022-11-09","within an hour","100%","97%",3,4.74,NA
520207720,"t","t","t","2023-06-15","within an hour","95%","99%",30,5,NA
1606133,"f","t","t","2012-01-14","N/A","N/A","N/A",1,4.95,NA
405225,"f","t","t","2011-02-22","N/A","N/A","N/A",1,4.78,NA
21074914,"t","t","t","2014-09-08","within an hour","100%","100%",4,4.91,NA
21074914,"t","t","t","2014-09-08","within an hour","100%","100%",4,5,NA
5577926,"f","t","t","2013-03-22","N/A","N/A","N/A",5,4.98,NA
11503864,"f","t","t","2014-01-21","N/A","N/A","N/A",1,NA,NA
11599506,"f","t","t","2014-01-24","N/A","N/A","N/A",1,4.87,NA
572508219,"f","t","f","2024-04-15","within a day","100%","60%",14,NA,131
376877842,"f","t","t","2020-11-24","within an hour","100%","96%",7,NA,NA
310311384,"f","t","t","2019-11-17","N/A","N/A","N/A",1,NA,NA
4168573,"f","t","t","2012-11-16","N/A","N/A","N/A",1,4.75,300
4938247,"f","t","t","2013-02-02","N/A","N/A","N/A",1,4.84,NA
111353308,"f","t","t","2017-01-14","a few days or more","10%","100%",1,5,NA
80573754,"f","t","t","2016-06-28","within an hour","100%","86%",2,5,NA
306024152,"f","t","t","2019-11-01","within an hour","100%","100%",6,4.5,NA
844096,"f","t","t","2011-07-20","N/A","N/A","N/A",1,4.75,NA
11636894,"f","t","t","2014-01-25","within a day","100%","0%",1,4.53,NA
23025661,"f","f","t","2014-10-27","N/A","N/A","N/A",1,NA,NA
12577771,"f","f","t","2014-02-25","N/A","N/A","N/A",1,NA,NA
507757608,"f","t","t","2023-03-30","a few days or more","27%","35%",14,NA,NA
417720962,"t","t","t","2021-08-09","within a day","100%","100%",1,5,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,NA,105
3749996,"f","t","t","2012-10-03","N/A","N/A","N/A",1,4.98,NA
501499086,"f","t","t","2023-02-17","a few days or more","0%","N/A",170,NA,NA
668564,"f","t","t","2011-06-06","N/A","N/A","N/A",1,4.94,NA
1676487,"f","t","t","2012-01-30","N/A","N/A","0%",2,4.71,NA
107413951,"f","t","t","2016-12-15","N/A","N/A","N/A",2,NA,NA
4355996,"f","t","t","2012-12-08","N/A","N/A","N/A",2,NA,NA
11603608,"f","t","t","2014-01-24","N/A","N/A","N/A",1,5,NA
5399418,"f","t","t","2013-03-10","N/A","N/A","N/A",1,NA,NA
12575621,"f","f","t","2014-02-25","N/A","N/A","N/A",1,NA,NA
24657274,"f","f","t","2014-12-09","N/A","N/A","N/A",1,NA,NA
14906518,"f","t","t","2014-04-29","N/A","N/A","N/A",1,5,NA
8703,"f","t","t","2009-02-27","N/A","N/A","N/A",1,5,NA
23424461,"f","t","t","2014-11-06","N/A","N/A","N/A",1,5,NA
6771815,"f","t","t","2013-06-06","N/A","N/A","N/A",1,4.63,NA
26819401,"f","t","t","2015-01-27","N/A","N/A","N/A",1,5,NA
24630374,"f","t","t","2014-12-08","N/A","N/A","N/A",1,5,NA
539071268,"t","t","f","2023-09-26","within an hour","100%","100%",1,5,644
8844412,"f","f","f","2013-09-15","within a day","100%","N/A",1,5,235
26415923,"f","t","t","2015-01-20","N/A","N/A","N/A",1,NA,NA
61391963,"f","t","t","2016-03-03","within a few hours","99%","71%",170,5,153
13795760,"f","f","t","2014-04-01","N/A","N/A","N/A",2,NA,NA
24710778,"f","t","t","2014-12-10","N/A","N/A","N/A",1,4,NA
6198638,"f","t","t","2013-05-02","N/A","N/A","N/A",1,5,NA
561863878,"f","t","t","2024-02-13","within an hour","97%","95%",2,4.88,86
422238549,"f","t","t","2021-09-09","within an hour","100%","96%",3,4.75,177
162280872,"f","t","t","2017-12-11","within an hour","100%","82%",242,NA,389
4041877,"f","f","t","2012-11-02","N/A","N/A","N/A",1,5,NA
2246071,"f","t","t","2012-04-28","N/A","N/A","N/A",1,4,NA
2252261,"f","f","t","2012-04-29","N/A","N/A","N/A",1,5,NA
18189742,"f","t","t","2014-07-16","N/A","N/A","N/A",1,NA,NA
9604972,"f","t","t","2013-10-23","N/A","N/A","N/A",1,4,NA
5220670,"f","t","t","2013-02-25","N/A","N/A","N/A",1,5,NA
3250450,"t","f","t","2012-08-13","within a few hours","100%","82%",19,NA,NA
1162642,"f","t","t","2011-09-15","N/A","N/A","N/A",2,NA,NA
12465884,"f","t","t","2014-02-22","N/A","N/A","N/A",1,4.89,NA
24907501,"f","t","t","2014-12-16","N/A","N/A","N/A",1,5,NA
3693416,"f","t","t","2012-09-27","N/A","N/A","N/A",1,NA,NA
6957798,"f","t","t","2013-06-17","N/A","N/A","N/A",1,4.86,NA
190154361,"f","t","t","2018-05-17","within an hour","100%","100%",32,NA,NA
2267508,"f","t","t","2012-05-01","N/A","N/A","N/A",1,4.81,NA
560840755,"t","t","t","2024-02-07","within an hour","100%","97%",5,4.92,344
555554255,"f","t","f","2024-01-09","N/A","N/A","N/A",1,NA,2600
200239515,"f","t","t","2018-07-05","within a few hours","99%","84%",277,5,NA
2941712,"f","t","t","2012-07-15","N/A","N/A","N/A",1,5,NA
7388128,"f","t","t","2013-07-09","N/A","N/A","N/A",1,NA,NA
3422859,"f","t","t","2012-08-30","N/A","N/A","N/A",1,4.86,NA
16949652,"f","t","t","2014-06-18","N/A","N/A","N/A",1,NA,NA
22089583,"f","t","t","2014-10-03","N/A","N/A","N/A",1,4.5,NA
2034343,"f","t","t","2012-03-29","N/A","N/A","N/A",1,NA,NA
22840947,"f","f","t","2014-10-22","N/A","N/A","N/A",1,NA,NA
485738,"f","t","t","2011-04-05","N/A","N/A","N/A",1,5,NA
21336880,"f","t","t","2014-09-14","N/A","N/A","N/A",1,4.71,NA
9520651,"f","t","t","2013-10-19","N/A","N/A","N/A",1,NA,NA
17456385,"f","t","t","2014-06-30","N/A","N/A","N/A",1,NA,NA
11526701,"f","t","t","2014-01-21","N/A","N/A","N/A",1,4.67,NA
249649095,"f","t","t","2019-03-18","within an hour","94%","99%",2,4.91,51
10552208,"f","f","t","2013-12-10","N/A","N/A","N/A",1,5,NA
10666587,"f","t","t","2013-12-17","N/A","N/A","N/A",1,5,NA
446820235,"f","t","t","2022-02-25","within an hour","100%","70%",4396,NA,NA
395223655,"f","t","t","2021-04-02","within a few hours","100%","90%",4,4.5,42
24508767,"f","t","t","2014-12-05","N/A","N/A","N/A",1,NA,NA
11057719,"f","t","t","2014-01-06","N/A","N/A","N/A",1,NA,NA
163603458,"t","t","t","2017-12-21","within an hour","100%","100%",1,4.98,88
11753837,"f","t","t","2014-01-29","N/A","N/A","N/A",1,4.83,NA
131476075,"f","t","t","2017-05-22","N/A","N/A","96%",6,4.86,90
458841834,"f","t","t","2022-05-12","N/A","N/A","N/A",1,NA,100
4357223,"f","t","t","2012-12-08","N/A","N/A","N/A",1,NA,NA
22188911,"f","t","t","2014-10-06","N/A","N/A","N/A",1,5,NA
633339,"f","t","t","2011-05-27","N/A","N/A","N/A",1,4.75,NA
26162659,"f","f","t","2015-01-15","N/A","N/A","N/A",1,NA,NA
681225,"f","t","t","2011-06-09","within a day","100%","50%",2,5,99
211212649,"f","t","t","2018-08-22","N/A","N/A","N/A",1,5,NA
325704923,"f","t","t","2020-01-08","within a day","56%","100%",3,NA,48
24555785,"f","t","t","2014-12-06","N/A","N/A","N/A",1,0,NA
22502212,"f","t","t","2014-10-13","N/A","N/A","N/A",1,5,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,4,131
19111611,"f","t","t","2014-07-29","N/A","N/A","N/A",1,4.57,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,4.67,164
24591281,"f","t","t","2014-12-07","N/A","N/A","N/A",1,5,NA
199147185,"f","f","t","2018-07-01","N/A","N/A","N/A",3,5,NA
40025069,"f","t","t","2015-07-30","N/A","N/A","N/A",1,4,232
395223655,"f","t","t","2021-04-02","within a few hours","100%","90%",4,5,41
13225047,"f","t","t","2014-03-17","N/A","N/A","N/A",3,4.95,NA
475832490,"t","t","t","2022-08-19","within an hour","100%","100%",4,4.9,89
3695778,"f","t","t","2012-09-27","N/A","N/A","N/A",1,NA,NA
22410033,"f","t","t","2014-10-11","N/A","N/A","N/A",1,4.88,NA
21208237,"f","t","t","2014-09-11","N/A","N/A","N/A",1,NA,NA
30283594,"f","t","t","2015-03-30","within an hour","91%","99%",522,NA,329
211024051,"t","t","t","2018-08-21","within a few hours","100%","80%",3,4.96,NA
203271555,"f","f","t","2018-07-18","N/A","N/A","N/A",1,4.86,NA
184928600,"f","t","t","2018-04-18","N/A","N/A","N/A",1,4.73,NA
97976588,"t","t","t","2016-10-04","N/A","N/A","N/A",1,4.96,110
14546480,"f","t","t","2014-04-21","N/A","N/A","N/A",1,5,NA
23909946,"f","t","t","2014-11-18","N/A","N/A","N/A",3,4.68,NA
13314076,"f","t","t","2014-03-19","N/A","N/A","N/A",1,4.93,NA
577762228,"","t","t","2024-05-15","within an hour","100%","88%",11,5,112
55922753,"f","t","t","2016-01-24","within a day","80%","33%",4,5,43
185889529,"f","t","t","2018-04-23","within an hour","90%","92%",5,5,66
6752504,"f","t","t","2013-06-05","N/A","N/A","N/A",7,NA,NA
561863878,"f","t","t","2024-02-13","within an hour","97%","95%",2,4.89,89
267735490,"f","t","t","2019-06-11","within an hour","100%","100%",4,4.57,96
448752983,"t","t","t","2022-03-09","within an hour","100%","100%",1,5,74
386345949,"f","t","t","2021-01-28","within an hour","100%","97%",27,NA,NA
3948178,"f","f","t","2012-10-22","N/A","N/A","N/A",1,4.67,NA
431476577,"f","t","t","2021-11-11","within an hour","100%","100%",21,NA,59
11301701,"f","t","t","2014-01-14","N/A","N/A","N/A",1,NA,NA
442029804,"f","t","t","2022-01-25","within an hour","99%","63%",2682,NA,210
131222248,"t","t","t","2017-05-20","within an hour","100%","87%",3,5,35
424334449,"","t","t","2021-09-23","within an hour","100%","98%",7,NA,95
241454071,"f","t","t","2019-02-06","within an hour","100%","100%",3,4.76,65
12485770,"f","t","t","2014-02-22","within a day","61%","37%",7,4.82,130
534677610,"f","t","f","2023-08-30","within an hour","100%","100%",1,4.65,109
137114793,"t","f","t","2017-06-26","within an hour","100%","88%",1,4.92,105
22020112,"f","t","t","2014-10-01","N/A","N/A","N/A",1,5,279
5283121,"f","t","t","2013-03-01","N/A","N/A","N/A",1,NA,NA
8497788,"f","t","t","2013-08-28","N/A","N/A","N/A",1,NA,NA
8741682,"f","t","t","2013-09-10","N/A","N/A","N/A",1,5,NA
12706936,"f","t","t","2014-03-01","N/A","N/A","N/A",1,NA,126
539071710,"f","t","t","2023-09-26","within an hour","100%","74%",1,4.94,105
561255317,"f","t","t","2024-02-09","N/A","N/A","N/A",2,NA,104
479983662,"f","t","t","2022-09-18","within an hour","100%","50%",2,NA,899
57135136,"f","t","t","2016-02-02","N/A","N/A","N/A",1,NA,NA
88387391,"f","f","t","2016-08-06","N/A","N/A","N/A",1,NA,NA
179383012,"f","f","t","2018-03-19","within an hour","100%","100%",4,4.86,40
19034179,"f","t","t","2014-07-28","N/A","N/A","N/A",1,5,NA
13524185,"f","t","t","2014-03-25","N/A","N/A","N/A",1,4.96,NA
81320394,"f","t","t","2016-07-02","a few days or more","0%","0%",2,5,40
2343136,"f","t","t","2012-05-10","N/A","N/A","N/A",1,5,NA
405442151,"f","t","t","2021-06-05","N/A","N/A","N/A",1,NA,NA
10593364,"f","f","t","2013-12-12","N/A","N/A","N/A",2,5,NA
455175874,"f","t","t","2022-04-20","N/A","N/A","0%",1,NA,100
473754085,"f","t","t","2022-08-07","N/A","N/A","N/A",2,NA,150
3424306,"f","t","t","2012-08-30","N/A","N/A","N/A",1,5,NA
168054716,"f","t","t","2018-01-15","within an hour","100%","94%",3,4.9,158
261761719,"f","t","t","2019-05-14","within an hour","92%","99%",8,3.22,546
4564600,"f","t","t","2013-01-02","N/A","N/A","N/A",1,5,NA
1602568,"f","t","t","2012-01-13","N/A","N/A","N/A",2,5,NA
936258,"f","t","t","2011-08-07","N/A","N/A","N/A",1,5,NA
14011859,"f","t","t","2014-04-07","N/A","N/A","N/A",1,5,NA
1663967,"f","t","t","2012-01-28","N/A","N/A","100%",1,4,140
6103669,"f","t","t","2013-04-26","a few days or more","0%","N/A",2,NA,150
295128,"f","t","t","2010-11-22","N/A","N/A","N/A",6,NA,89
60828137,"f","t","t","2016-02-28","N/A","N/A","N/A",5,5,NA
371008926,"f","f","t","2020-10-07","within a day","50%","60%",10,5,70
525475654,"f","t","t","2023-07-13","N/A","N/A","N/A",1,NA,4320
3866196,"f","t","t","2012-10-14","N/A","N/A","N/A",1,5,NA
420148935,"t","t","t","2021-08-25","within an hour","100%","93%",1,4.92,85
2641574,"f","t","t","2012-06-14","N/A","N/A","N/A",1,5,NA
452721665,"f","t","t","2022-04-04","within an hour","90%","67%",2,NA,44
203890641,"f","t","t","2018-07-21","within an hour","94%","100%",3,NA,86
124028462,"f","t","t","2017-04-03","within a few hours","90%","75%",23,NA,NA
479755663,"t","f","t","2022-09-16","within an hour","81%","99%",4,4.85,95
555479658,"f","t","t","2024-01-09","N/A","N/A","100%",6,NA,NA
167241670,"t","t","t","2018-01-11","within a few hours","100%","89%",5,5,75
20136355,"f","t","t","2014-08-17","N/A","N/A","N/A",1,5,NA
501456,"f","t","t","2011-04-11","N/A","N/A","N/A",1,4,NA
10903292,"f","t","t","2013-12-30","N/A","N/A","N/A",1,NA,99
92782,"f","t","t","2010-03-14","N/A","N/A","N/A",1,5,NA
900154,"f","t","t","2011-07-31","N/A","N/A","N/A",1,5,NA
5444717,"f","t","t","2013-03-13","N/A","N/A","N/A",1,5,NA
20449694,"f","t","t","2014-08-23","N/A","N/A","N/A",1,4.91,NA
462364312,"t","t","t","2022-06-03","within a day","100%","100%",1,5,115
290343,"t","t","t","2010-11-17","within a few hours","100%","94%",3,NA,NA
528838868,"f","t","t","2023-07-30","N/A","N/A","97%",2,NA,315
501710063,"f","t","f","2023-02-18","a few days or more","40%","27%",4,NA,120
574095831,"f","t","t","2024-04-24","within a day","100%","50%",1,NA,79
489230483,"f","f","t","2022-11-26","within a day","100%","100%",1,4.64,100
727114,"f","t","t","2011-06-21","N/A","N/A","N/A",1,4.9,NA
177846,"f","t","t","2010-07-22","within a few hours","100%","100%",2,4.89,NA
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,45
267272502,"f","t","t","2019-06-09","within an hour","100%","95%",23,5,NA
16329859,"f","t","t","2014-06-03","N/A","N/A","100%",1,4.95,NA
16516195,"f","t","t","2014-06-08","N/A","N/A","100%",1,4.93,NA
20377328,"f","t","t","2014-08-21","N/A","N/A","N/A",1,4.33,NA
2246253,"f","t","t","2012-04-29","N/A","N/A","N/A",1,5,NA
2555556,"f","t","t","2012-06-05","N/A","N/A","N/A",1,5,NA
7691955,"f","t","t","2013-07-24","N/A","N/A","N/A",1,5,NA
39549563,"f","f","t","2015-07-25","within a few hours","100%","100%",1,4.93,150
7041410,"t","t","t","2013-06-21","within a few hours","100%","89%",1,4.99,NA
225283096,"f","t","t","2018-11-11","within a day","56%","75%",1,4.84,55
33290222,"f","t","t","2015-05-13","within an hour","100%","93%",3,5,425
5283769,"f","t","t","2013-03-01","N/A","N/A","N/A",1,4.96,NA
35491667,"t","t","t","2015-06-10","within an hour","96%","94%",103,NA,51
20624434,"f","t","t","2014-08-27","N/A","N/A","N/A",1,5,NA
754675,"f","t","t","2011-06-28","N/A","N/A","N/A",1,5,NA
25043292,"t","t","t","2014-12-20","N/A","N/A","N/A",2,5,NA
2910317,"f","t","t","2012-07-11","N/A","N/A","N/A",1,4.71,NA
398867059,"t","t","t","2021-04-27","N/A","N/A","N/A",1,4.95,85
3120671,"f","t","t","2012-07-31","within an hour","100%","0%",2,5,NA
177846,"f","t","t","2010-07-22","within a few hours","100%","100%",2,4.91,NA
12404650,"f","t","t","2014-02-19","N/A","N/A","N/A",1,4.91,NA
4319841,"f","t","t","2012-12-04","N/A","N/A","N/A",1,4.67,NA
16968100,"f","f","t","2014-06-18","N/A","N/A","N/A",1,NA,NA
80573754,"f","t","t","2016-06-28","within an hour","100%","86%",2,5,70
5192686,"f","t","t","2015-06-30","N/A","N/A","N/A",2,5,NA
168054716,"f","t","t","2018-01-15","within an hour","100%","94%",3,5,139
21096602,"f","f","t","2014-09-08","N/A","N/A","N/A",1,NA,NA
5744305,"t","t","t","2013-04-02","within an hour","100%","100%",1,4.94,132
10003254,"f","t","t","2013-11-14","N/A","N/A","N/A",1,4.89,NA
501999278,"f","t","t","2023-02-20","within an hour","98%","88%",2950,1,205
408979935,"f","t","t","2021-06-24","within an hour","100%","99%",28,5,115
119931951,"f","t","t","2017-03-09","N/A","N/A","13%",1,5,67
9443112,"f","t","t","2013-10-15","N/A","N/A","N/A",1,4.8,NA
3478341,"f","t","t","2012-09-05","N/A","N/A","N/A",1,5,NA
407896135,"t","t","t","2021-06-18","within a few hours","100%","100%",1,4.93,184
2011110,"f","t","t","2012-03-26","N/A","N/A","N/A",1,5,NA
443442157,"f","t","t","2022-02-03","within an hour","100%","90%",5,5,100
2203415,"f","t","t","2012-04-23","N/A","N/A","N/A",1,5,NA
7776144,"f","t","t","2013-07-28","N/A","N/A","N/A",1,4.87,NA
1290508,"f","t","t","2011-10-14","N/A","N/A","N/A",1,5,NA
12774721,"f","t","t","2014-03-03","N/A","N/A","N/A",1,5,NA
35491667,"t","t","t","2015-06-10","within an hour","96%","94%",103,NA,55
17152076,"t","t","t","2014-06-23","within an hour","100%","71%",5,4.91,NA
9234456,"f","t","t","2013-10-04","N/A","N/A","N/A",2,4.82,NA
11402749,"f","t","t","2014-01-17","N/A","N/A","N/A",1,5,NA
18254644,"f","t","t","2014-07-17","N/A","N/A","N/A",1,4.97,NA
233485864,"t","t","t","2018-12-31","within an hour","100%","100%",2,4.96,68
25163365,"f","t","t","2014-12-24","N/A","N/A","N/A",1,5,NA
8048803,"f","t","t","2013-08-09","N/A","N/A","N/A",1,5,NA
307362200,"f","t","t","2019-11-06","within an hour","100%","100%",1,4.73,125
25401356,"f","t","t","2014-12-30","N/A","N/A","N/A",1,4.75,NA
39298265,"f","t","t","2015-07-22","N/A","N/A","N/A",1,NA,NA
7753501,"f","t","t","2013-07-27","N/A","N/A","N/A",1,NA,NA
118395230,"f","t","t","2017-02-27","within an hour","100%","73%",1,NA,501
3886532,"f","t","t","2012-10-16","N/A","N/A","N/A",3,4.97,NA
9572607,"f","f","t","2013-10-22","N/A","N/A","N/A",1,5,NA
233485864,"t","t","t","2018-12-31","within an hour","100%","100%",2,4.94,68
234918,"f","t","t","2010-09-14","N/A","N/A","N/A",1,4.87,NA
22541573,"f","t","t","2014-10-14","within an hour","100%","100%",263,NA,348
10795846,"f","t","t","2013-12-24","N/A","N/A","N/A",2,4.89,NA
22503794,"f","f","t","2014-10-13","N/A","N/A","N/A",1,5,NA
9293730,"t","t","t","2013-10-07","within an hour","100%","68%",47,4.83,129
3635762,"f","t","t","2012-09-21","N/A","N/A","N/A",1,NA,NA
4320908,"f","t","t","2012-12-04","N/A","N/A","N/A",1,NA,NA
175152359,"t","t","t","2018-02-24","within an hour","100%","100%",6,4.8,39
25100,"f","t","t","2009-07-10","N/A","N/A","N/A",1,4.91,NA
17682312,"f","f","t","2014-07-05","N/A","N/A","N/A",1,NA,NA
18511357,"f","t","t","2014-07-20","N/A","N/A","N/A",1,NA,NA
23939128,"f","f","t","2014-11-19","N/A","N/A","N/A",1,4.8,NA
17649482,"f","t","t","2014-07-04","within a few hours","100%","0%",4,5,664
2423107,"f","t","t","2012-05-20","N/A","N/A","N/A",1,5,NA
14273136,"f","t","t","2014-04-14","N/A","N/A","N/A",1,4.93,NA
6310115,"f","t","t","2013-05-09","N/A","N/A","N/A",1,5,NA
51548122,"f","t","t","2015-12-16","within a few hours","96%","90%",48,4.58,200
7978448,"f","t","t","2013-08-06","N/A","N/A","N/A",1,4.83,NA
89526812,"f","t","t","2016-08-12","N/A","N/A","100%",1,4.9,80
21127377,"f","t","t","2014-09-09","N/A","N/A","N/A",1,4.97,NA
22527661,"f","f","t","2014-10-14","N/A","N/A","N/A",1,5,NA
534776,"f","t","t","2011-04-25","N/A","N/A","N/A",1,4.91,NA
3223938,"f","t","t","2012-08-11","within an hour","99%","23%",727,NA,38
7793849,"f","t","t","2013-07-29","N/A","N/A","N/A",1,4.95,NA
266645207,"f","f","t","2019-06-05","within an hour","96%","95%",3,4.79,84
